Histogram (GPU):
0.187500 25614799 
0.562500 17605768 
0.937500 12104567 
1.312500 8318257 
1.687500 5713809 
2.062500 3928368 
2.437500 2701027 
2.812500 1856379 
3.187500 1276120 
3.562500 874680 
3.937500 603148 
4.312500 414660 
4.687500 283329 
5.062500 196103 
5.437500 133968 
5.812500 92348 
6.187500 63364 
6.562500 43356 
6.937500 29802 
7.312500 20732 
7.687500 14108 
8.062500 9850 
8.437500 6635 
8.812500 4642 
9.187500 3137 
9.562500 2154 
9.937500 1479 
10.312500 1088 
10.687500 746 
11.062500 510 
11.437500 345 
11.812500 221 
12.187500 148 
12.562500 117 
12.937500 75 
13.312500 40 
13.687500 39 
14.062500 31 
14.437500 14 
14.812500 12 
15.187500 7 
15.562500 3 
15.937500 3 
16.312500 2 
16.687500 4 
17.062500 3 
17.437500 1 
17.812500 2 
18.187500 0 
18.562500 0 
18.937500 0 
19.312500 0 
19.687500 0 
20.062500 0 
20.437500 0 
20.812500 0 
21.187500 0 
21.562500 0 
21.937500 0 
22.312500 0 
22.687500 0 
23.062500 0 
23.437500 0 
23.812500 0 
