Histogram (GPU):
0.015625 2520666 
0.046875 2441179 
0.078125 2368053 
0.109375 2295275 
0.140625 2222987 
0.171875 2156221 
0.203125 2087832 
0.234375 2025775 
0.265625 1961242 
0.296875 1903019 
0.328125 1845049 
0.359375 1787501 
0.390625 1729930 
0.421875 1681650 
0.453125 1627955 
0.484375 1575043 
0.515625 1525661 
0.546875 1483052 
0.578125 1437913 
0.609375 1392897 
0.640625 1350412 
0.671875 1307910 
0.703125 1264932 
0.734375 1228413 
0.765625 1190647 
0.796875 1155652 
0.828125 1117899 
0.859375 1083283 
0.890625 1050375 
0.921875 1017659 
0.953125 988352 
0.984375 956969 
1.015625 928231 
1.046875 899742 
1.078125 871862 
1.109375 843896 
1.140625 818497 
1.171875 792616 
1.203125 767822 
1.234375 744437 
1.265625 722520 
1.296875 700062 
1.328125 678600 
1.359375 658219 
1.390625 637483 
1.421875 618234 
1.453125 598736 
1.484375 581031 
1.515625 561857 
1.546875 543528 
1.578125 527656 
1.609375 512021 
1.640625 495781 
1.671875 481270 
1.703125 465944 
1.734375 454208 
1.765625 436714 
1.796875 423980 
1.828125 411746 
1.859375 399104 
1.890625 386078 
1.921875 374629 
1.953125 362967 
1.984375 352443 
2.015625 341267 
2.046875 330121 
2.078125 320817 
2.109375 311287 
2.140625 301456 
2.171875 291412 
2.203125 282417 
2.234375 273474 
2.265625 265957 
2.296875 257562 
2.328125 249699 
2.359375 242038 
2.390625 234145 
2.421875 227433 
2.453125 220104 
2.484375 213998 
2.515625 207107 
2.546875 199843 
2.578125 194809 
2.609375 188332 
2.640625 183102 
2.671875 176336 
2.703125 171404 
2.734375 166167 
2.765625 161230 
2.796875 156227 
2.828125 151217 
2.859375 146988 
2.890625 141770 
2.921875 138156 
2.953125 133899 
2.984375 129883 
3.015625 125277 
3.046875 120984 
3.078125 118342 
3.109375 115091 
3.140625 110468 
3.171875 107236 
3.203125 104150 
3.234375 101372 
3.265625 97749 
3.296875 94747 
3.328125 91663 
3.359375 89041 
3.390625 86220 
3.421875 83776 
3.453125 80789 
3.484375 78107 
3.515625 76008 
3.546875 73607 
3.578125 71422 
3.609375 68740 
3.640625 67069 
3.671875 65124 
3.703125 62971 
3.734375 60847 
3.765625 59094 
3.796875 57671 
3.828125 55587 
3.859375 54167 
3.890625 52552 
3.921875 50963 
3.953125 48955 
3.984375 47370 
4.015625 46303 
4.046875 44738 
4.078125 43687 
4.109375 42061 
4.140625 41189 
4.171875 39647 
4.203125 38068 
4.234375 37238 
4.265625 36013 
4.296875 34785 
4.328125 34133 
4.359375 32693 
4.390625 31578 
4.421875 30911 
4.453125 29746 
4.484375 28659 
4.515625 28131 
4.546875 26876 
4.578125 26160 
4.609375 25385 
4.640625 24582 
4.671875 23794 
4.703125 23373 
4.734375 22350 
4.765625 21600 
4.796875 21155 
4.828125 20175 
4.859375 19748 
4.890625 19259 
4.921875 18495 
4.953125 18109 
4.984375 17695 
5.015625 17131 
5.046875 16535 
5.078125 15889 
5.109375 15609 
5.140625 15178 
5.171875 14463 
5.203125 14129 
5.234375 13611 
5.265625 13176 
5.296875 12737 
5.328125 12386 
5.359375 11855 
5.390625 11701 
5.421875 11458 
5.453125 10932 
5.484375 10511 
5.515625 10450 
5.546875 9899 
5.578125 9533 
5.609375 9330 
5.640625 8970 
5.671875 8893 
5.703125 8634 
5.734375 8345 
5.765625 8051 
5.796875 7821 
5.828125 7508 
5.859375 7191 
5.890625 7205 
5.921875 6828 
5.953125 6548 
5.984375 6354 
6.015625 6244 
6.046875 6097 
6.078125 5905 
6.109375 5531 
6.140625 5388 
6.171875 5266 
6.203125 5185 
6.234375 5088 
6.265625 4822 
6.296875 4729 
6.328125 4577 
6.359375 4532 
6.390625 4293 
6.421875 4172 
6.453125 3948 
6.484375 3840 
6.515625 3843 
6.546875 3754 
6.578125 3503 
6.609375 3374 
6.640625 3383 
